GameID,gameDate,HomeTeam,AwayTeam
June122024DalvsBos,8:30PM-June12-2024,Dallas Mavericks,Boston Celtics
GameID,Score,Quarter,QuarterTime,Team,Play
June122024DalvsBos,0-0,1,12:00.0,Boston Celtics,Jump ball: A. Horford vs. D. Gafford
June122024DalvsBos,0-2,1,11:46.0,Dallas Mavericks,K. Irving makes 2-pt layup from 3 ft
June122024DalvsBos,2-2,1,11:23.0,Boston Celtics,A. Horford makes 2-pt jump shot from 10 ft
June122024DalvsBos,2-5,1,11:14.0,Dallas Mavericks,L. Dončić makes 3-pt jump shot from 27 ft
June122024DalvsBos,2-7,1,10:58.0,Dallas Mavericks,D. Jones makes 2-pt layup from 2 ft
June122024DalvsBos,2-7,1,10:42.0,Dallas Mavericks,Defensive rebound by L. Dončić
June122024DalvsBos,2-7,1,10:26.0,Dallas Mavericks,Defensive rebound by K. Irving
June122024DalvsBos,2-9,1,10:12.0,Dallas Mavericks,L. Dončić makes 2-pt layup from 5 ft
June122024DalvsBos,5-9,1,9:55.0,Boston Celtics,A. Horford makes 3-pt jump shot from 23 ft
June122024DalvsBos,5-9,1,9:34.0,Dallas Mavericks,Offensive rebound by Team
June122024DalvsBos,5-11,1,9:32.0,Dallas Mavericks,K. Irving makes 2-pt jump shot from 6 ft
June122024DalvsBos,5-11,1,9:15.0,Dallas Mavericks,Defensive rebound by D. Gafford
June122024DalvsBos,5-11,1,8:53.0,Boston Celtics,Defensive rebound by J. Brown
June122024DalvsBos,5-11,1,8:45.0,Boston Celtics,Offensive rebound by J. Holiday
June122024DalvsBos,5-11,1,8:45.0,Dallas Mavericks,Defensive rebound by P. Washington
June122024DalvsBos,5-11,1,8:29.0,Boston Celtics,Defensive rebound by J. Brown
June122024DalvsBos,5-11,1,8:22.0,Dallas Mavericks,Defensive rebound by L. Dončić
June122024DalvsBos,5-13,1,8:17.0,Dallas Mavericks,D. Gafford makes 2-pt dunk from 3 ft
