GameID,gameDate,HomeTeam,AwayTeam
June192016GolvsCle,8:00PM-June19-2016,Golden State Warriors,Cleveland Cavaliers
GameID,Score,Quarter,QuarterTime,Team,Play
June192016GolvsCle,0-0,1,12:00.0,Cleveland Cavaliers,Jump ball: F. Ezeli vs. T. Thompson
June192016GolvsCle,0-0,1,11:36.0,Golden State Warriors,Defensive rebound by S. Curry
June192016GolvsCle,0-0,1,11:17.0,Cleveland Cavaliers,Defensive rebound by L. James
June192016GolvsCle,2-0,1,11:05.0,Cleveland Cavaliers,T. Thompson makes 2-pt layup from 3 ft
June192016GolvsCle,2-0,1,10:43.0,Cleveland Cavaliers,Defensive rebound by L. James
June192016GolvsCle,4-0,1,10:37.0,Cleveland Cavaliers,L. James makes 2-pt layup from 1 ft
June192016GolvsCle,4-0,1,10:24.0,Golden State Warriors,Offensive rebound by K. Thompson
June192016GolvsCle,4-2,1,10:13.0,Golden State Warriors,D. Green makes 2-pt dunk at rim
June192016GolvsCle,4-2,1,9:47.0,Golden State Warriors,Defensive rebound by H. Barnes
June192016GolvsCle,4-5,1,9:38.0,Golden State Warriors,H. Barnes makes 3-pt jump shot from 27 ft
June192016GolvsCle,4-5,1,9:19.0,Golden State Warriors,Defensive rebound by S. Curry
June192016GolvsCle,4-8,1,9:06.0,Golden State Warriors,D. Green makes 3-pt jump shot from 26 ft
June192016GolvsCle,4-8,1,8:50.0,Golden State Warriors,Defensive rebound by F. Ezeli
June192016GolvsCle,4-8,1,8:42.0,Cleveland Cavaliers,Defensive rebound by K. Love
June192016GolvsCle,4-8,1,8:31.0,Golden State Warriors,Defensive rebound by Team
June192016GolvsCle,4-8,1,8:13.0,Cleveland Cavaliers,Defensive rebound by T. Thompson
June192016GolvsCle,4-8,1,8:03.0,Cleveland Cavaliers,Offensive rebound by K. Love
June192016GolvsCle,4-8,1,8:00.0,Cleveland Cavaliers,Offensive rebound by K. Love
June192016GolvsCle,6-8,1,7:58.0,Cleveland Cavaliers,K. Love makes 2-pt layup from 1 ft
June192016GolvsCle,6-8,1,7:41.0,Cleveland Cavaliers,Defensive rebound by L. James
June192016GolvsCle,6-8,1,7:18.0,Cleveland Cavaliers,Defensive rebound by T. Thompson
June192016GolvsCle,8-8,1,7:07.0,Cleveland Cavaliers,K. Irving makes 2-pt jump shot from 13 ft
June192016GolvsCle,8-11,1,6:42.0,Golden State Warriors,S. Curry makes 3-pt jump shot from 26 ft
June192016GolvsCle,8-11,1,6:14.0,Cleveland Cavaliers,Offensive rebound by Team
June192016GolvsCle,10-11,1,6:04.0,Cleveland Cavaliers,J. Smith makes 2-pt layup from 2 ft
June192016GolvsCle,10-11,1,5:52.0,Cleveland Cavaliers,Defensive rebound by L. James
June192016GolvsCle,10-13,1,4:50.0,Golden State Warriors,K. Thompson makes 2-pt jump shot from 12 ft
June192016GolvsCle,10-13,1,4:28.0,Golden State Warriors,Defensive rebound by D. Green
June192016GolvsCle,12-13,1,4:16.0,Cleveland Cavaliers,R. Jefferson makes 2-pt layup from 2 ft
June192016GolvsCle,12-13,1,3:59.0,Cleveland Cavaliers,Defensive rebound by L. James
June192016GolvsCle,14-13,1,3:55.0,Cleveland Cavaliers,J. Smith makes 2-pt layup from 1 ft
June192016GolvsCle,14-16,1,3:38.0,Golden State Warriors,K. Thompson makes 3-pt jump shot from 25 ft
June192016GolvsCle,16-16,1,3:12.0,Cleveland Cavaliers,L. James makes 2-pt dunk at rim
June192016GolvsCle,16-16,1,2:52.0,Cleveland Cavaliers,Defensive rebound by J. Smith
June192016GolvsCle,16-16,1,2:44.0,Golden State Warriors,Defensive rebound by D. Green
June192016GolvsCle,16-16,1,2:35.0,Cleveland Cavaliers,Defensive rebound by T. Thompson
June192016GolvsCle,16-19,1,2:00.0,Golden State Warriors,S. Curry makes 3-pt jump shot from 23 ft
June192016GolvsCle,18-19,1,1:40.0,Cleveland Cavaliers,K. Irving makes 2-pt jump shot from 16 ft
June192016GolvsCle,18-21,1,1:26.0,Golden State Warriors,D. Green makes 2-pt layup from 1 ft
June192016GolvsCle,18-21,1,1:06.0,Cleveland Cavaliers,Offensive rebound by K. Love
June192016GolvsCle,19-21,1,1:06.0,Cleveland Cavaliers,K. Love makes free throw 1 of 2
June192016GolvsCle,19-21,1,1:06.0,Golden State Warriors,Defensive rebound by A. Iguodala
June192016GolvsCle,19-21,1,0:53.0,Cleveland Cavaliers,Defensive rebound by K. Love
June192016GolvsCle,19-21,1,0:43.0,Cleveland Cavaliers,Offensive rebound by K. Love
June192016GolvsCle,20-21,1,0:38.0,Cleveland Cavaliers,K. Love makes free throw 1 of 2
June192016GolvsCle,21-21,1,0:38.0,Cleveland Cavaliers,K. Love makes free throw 2 of 2
June192016GolvsCle,21-22,1,0:25.0,Golden State Warriors,A. Varejão makes free throw 1 of 2
June192016GolvsCle,21-22,1,0:25.0,Cleveland Cavaliers,Defensive rebound by K. Love
June192016GolvsCle,22-22,1,0:04.0,Cleveland Cavaliers,L. James makes free throw 1 of 2
June192016GolvsCle,23-22,1,0:04.0,Cleveland Cavaliers,L. James makes free throw 2 of 2
June192016GolvsCle,23-24,2,11:42.0,Golden State Warriors,S. Livingston makes 2-pt jump shot from 16 ft
June192016GolvsCle,23-24,2,11:24.0,Cleveland Cavaliers,Offensive rebound by R. Jefferson
June192016GolvsCle,23-24,2,11:19.0,Golden State Warriors,Defensive rebound by M. Speights
June192016GolvsCle,23-24,2,10:52.0,Golden State Warriors,Defensive rebound by M. Speights
June192016GolvsCle,23-24,2,10:42.0,Cleveland Cavaliers,Defensive rebound by R. Jefferson
June192016GolvsCle,25-24,2,10:33.0,Cleveland Cavaliers,L. James makes 2-pt layup from 3 ft
June192016GolvsCle,25-24,2,10:07.0,Golden State Warriors,Offensive rebound by M. Speights
June192016GolvsCle,25-24,2,10:07.0,Cleveland Cavaliers,Defensive rebound by Team
June192016GolvsCle,25-24,2,9:50.0,Golden State Warriors,Defensive rebound by K. Thompson
June192016GolvsCle,25-24,2,9:45.0,Golden State Warriors,Offensive rebound by Team
June192016GolvsCle,25-24,2,9:33.0,Golden State Warriors,Offensive rebound by S. Livingston
June192016GolvsCle,25-26,2,9:33.0,Golden State Warriors,S. Livingston makes 2-pt layup from 13 ft
June192016GolvsCle,25-26,2,9:19.0,Golden State Warriors,Defensive rebound by D. Green
June192016GolvsCle,27-26,2,9:10.0,Cleveland Cavaliers,M. Williams makes 2-pt layup from 2 ft
June192016GolvsCle,27-29,2,8:49.0,Golden State Warriors,D. Green makes 3-pt jump shot from 26 ft
June192016GolvsCle,27-29,2,8:08.0,Cleveland Cavaliers,Defensive rebound by L. James
June192016GolvsCle,27-29,2,7:59.0,Golden State Warriors,Defensive rebound by A. Iguodala
June192016GolvsCle,27-29,2,7:37.0,Cleveland Cavaliers,Defensive rebound by K. Irving
