GameID,Quarter,Quarter_Time,Team,Play
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,1,12:00.0,Boston Celtics,Jump ball: A. Horford vs. D. Gafford (L. Dončić gains possession)
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,1,11:46.0,Dallas Mavericks,K. Irving makes 2-pt layup from 3 ft (assist by L. Dončić)
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,1,11:23.0,Boston Celtics,A. Horford makes 2-pt jump shot from 10 ft (assist by J. Brown)
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,1,11:14.0,Dallas Mavericks,L. Dončić makes 3-pt jump shot from 27 ft
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,1,10:58.0,Dallas Mavericks,D. Jones makes 2-pt layup from 2 ft
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,1,10:42.0,Dallas Mavericks,Defensive rebound by L. Dončić
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,1,10:26.0,Dallas Mavericks,Defensive rebound by K. Irving
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,1,10:12.0,Dallas Mavericks,L. Dončić makes 2-pt layup from 5 ft
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,1,9:55.0,Boston Celtics,A. Horford makes 3-pt jump shot from 23 ft (assist by J. Brown)
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,1,9:34.0,Dallas Mavericks,Offensive rebound by Team
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,1,9:32.0,Dallas Mavericks,K. Irving makes 2-pt jump shot from 6 ft (assist by L. Dončić)
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,1,9:15.0,Dallas Mavericks,Defensive rebound by D. Gafford
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,1,8:53.0,Boston Celtics,Defensive rebound by J. Brown
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,1,8:45.0,Boston Celtics,Offensive rebound by J. Holiday
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,1,8:45.0,Dallas Mavericks,Defensive rebound by P. Washington
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,1,8:29.0,Boston Celtics,Defensive rebound by J. Brown
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,1,8:22.0,Dallas Mavericks,Defensive rebound by L. Dončić
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,1,8:17.0,Dallas Mavericks,D. Gafford makes 2-pt dunk from 3 ft (assist by P. Washington)
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,1,7:54.0,Dallas Mavericks,Defensive rebound by D. Jones
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,1,7:39.0,Boston Celtics,Defensive rebound by J. Tatum
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,1,7:24.0,Boston Celtics,J. Holiday makes 2-pt jump shot from 15 ft
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,1,7:05.0,Dallas Mavericks,L. Dončić makes 2-pt layup from 2 ft
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,1,6:44.0,Dallas Mavericks,Defensive rebound by D. Lively
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,1,6:37.0,Dallas Mavericks,K. Irving makes 2-pt layup from 7 ft
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,1,6:26.0,Boston Celtics,J. Tatum makes 2-pt layup from 2 ft (assist by D. White)
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,1,6:10.0,Dallas Mavericks,L. Dončić makes 2-pt jump shot from 5 ft
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,1,5:48.0,Dallas Mavericks,D. Lively makes 2-pt layup from 3 ft (assist by L. Dončić)
